TECH,YEAR,C_INV [USD2018/kW],CUMULATIVE CAPACITY [GW]
ONSHORE_WIND,2010,1914,178
ONSHORE_WIND,2011,1883,216
ONSHORE_WIND,2012,1937,261
ONSHORE_WIND,2013,1797,292
ONSHORE_WIND,2014,1745,340
ONSHORE_WIND,2015,1611,405
ONSHORE_WIND,2016,1604,453
ONSHORE_WIND,2017,1599,495
ONSHORE_WIND,2018,1520,541
ONSHORE_WIND,2019,1448,595
ONSHORE_WIND,2020,1316,698
RES_PV,2013,3794,27
RES_PV,2014,3379,32
RES_PV,2015,3158,38
RES_PV,2016,3103,44
RES_PV,2017,3027,50
RES_PV,2018,2705,58
RES_PV,2019,2507,74
RES_PV,2020,2443,93
DEC_HP_ELEC,2000,,
DEC_HP_ELEC,2001,,
DEC_HP_ELEC,2002,,
DEC_HP_ELEC,2003,,
DEC_HP_ELEC,2004,,
DEC_HP_ELEC,2005,,
DEC_HP_ELEC,2006,,
DEC_HP_ELEC,2007,,
DEC_HP_ELEC,2008,,
DEC_HP_ELEC,2009,,
DEC_HP_ELEC,2010,,
DEC_HP_ELEC,2011,,
DEC_HP_ELEC,2012,,
DEC_HP_ELEC,2013,,
DEC_HP_ELEC,2014,,
DEC_HP_ELEC,2015,,
DEC_HP_ELEC,2016,,
DEC_HP_ELEC,2017,,
DEC_HP_ELEC,2018,903,6.22
DEC_HP_ELEC,2019,,
DEC_HP_ELEC,2020,,
DEC_SOLAR,2010,8830,1.266
DEC_SOLAR,2011,10403,1.705
DEC_SOLAR,2012,8040,2.567
DEC_SOLAR,2013,6307,3.842
DEC_SOLAR,2014,5414,4.499
DEC_SOLAR,2015,7232,4.75
DEC_SOLAR,2016,7602,4.86
DEC_SOLAR,2017,7196,4.959
DEC_SOLAR,2018,5161,5.833
DEC_SOLAR,2019,6466,6.384
DEC_SOLAR,2020,4448,6.479
DHN_HP_ELEC,2000,7256,0.417
DHN_HP_ELEC,2001,6806,0.467
DHN_HP_ELEC,2002,6524,0.522
DHN_HP_ELEC,2003,5231,0.587
DHN_HP_ELEC,2004,4893,0.661
DHN_HP_ELEC,2005,4781,0.750
DHN_HP_ELEC,2006,4612,0.867
DHN_HP_ELEC,2007,4443,0.992
DHN_HP_ELEC,2008,4218,1.143
DHN_HP_ELEC,2009,,
DHN_HP_ELEC,2010,,
DHN_HP_ELEC,2011,,
DHN_HP_ELEC,2012,,
DHN_HP_ELEC,2013,,
DHN_HP_ELEC,2014,,
DHN_HP_ELEC,2015,,
DHN_HP_ELEC,2016,,
DHN_HP_ELEC,2017,,
DHN_HP_ELEC,2018,,
DHN_HP_ELEC,2019,,
DHN_HP_ELEC,2020,,
OFFSHORE_WIND,2010,4569,3.056
OFFSHORE_WIND,2011,5233,3.776
OFFSHORE_WIND,2012,4631,5.334
OFFSHORE_WIND,2013,5554,7.171
OFFSHORE_WIND,2014,5153,8.492
OFFSHORE_WIND,2015,5168,11.717
OFFSHORE_WIND,2016,4069,14.342
OFFSHORE_WIND,2017,4597,18.837
OFFSHORE_WIND,2018,4496,23.626
OFFSHORE_WIND,2019,3615,28.355
OFFSHORE_WIND,2020,3092,34.367
UTILITY_PV,2010,4593,8
UTILITY_PV,2011,3890,18
UTILITY_PV,2012,2933,30
UTILITY_PV,2013,2570,51
UTILITY_PV,2014,2323,76
UTILITY_PV,2015,1770,109
UTILITY_PV,2016,1609,165
UTILITY_PV,2017,1390,226
UTILITY_PV,2018,1187,281
UTILITY_PV,2019,980,347
UTILITY_PV,2020,857,415
COMMERCIAL_PV,2010,8381,21
COMMERCIAL_PV,2011,4071,35
COMMERCIAL_PV,2012,2837,47
COMMERCIAL_PV,2013,2880,57
COMMERCIAL_PV,2014,2828,67
COMMERCIAL_PV,2015,2221,77
COMMERCIAL_PV,2016,1821,89
COMMERCIAL_PV,2017,2100,118
COMMERCIAL_PV,2018,1963,151
COMMERCIAL_PV,2019,1648,176
COMMERCIAL_PV,2020,1309,196
GEOTHERMAL,2010,2544,9.992
GEOTHERMAL,2011,,10.134
GEOTHERMAL,2012,5162,10.481
GEOTHERMAL,2013,3716,10.718
GEOTHERMAL,2014,3508,11.159
GEOTHERMAL,2015,3435,11.799
GEOTHERMAL,2016,3608,12.122
GEOTHERMAL,2017,3762,12.672
GEOTHERMAL,2018,4098,13.148
GEOTHERMAL,2019,3852,13.862
GEOTHERMAL,2020,4338,14.013
HYDRO_TOTAL,2010,1232,1027
HYDRO_TOTAL,2011,1215,1059
HYDRO_TOTAL,2012,1298,1093
HYDRO_TOTAL,2013,1468,1137
HYDRO_TOTAL,2014,1682,1175
HYDRO_TOTAL,2015,1480,1209
HYDRO_TOTAL,2016,1753,1245
HYDRO_TOTAL,2017,1799,1269
HYDRO_TOTAL,2018,1410,1292
HYDRO_TOTAL,2019,1674,1305
HYDRO_TOTAL,2020,1816,1324