TECH,YEAR,C_INV [USD2018/kW],CUMULATIVE CAPACITY [GW],YEARLY PRODUCTION [TWh/year]
SOEC_ELECTROLYSIS,2012,14443,0.0000605,
SOEC_ELECTROLYSIS,2012,2614,0.0000605,
SOEC_ELECTROLYSIS,2015,9027,0.0001271,
SOEC_ELECTROLYSIS,2017,5416,0.0003232,
SOEC_ELECTROLYSIS,2018,2428,0.0004715,
SOEC_ELECTROLYSIS,2020,2407,0.0011737,
SOEC_ELECTROLYSIS,2020,714,0.0011737,
SOEC_ELECTROLYSIS,2020,1133,0.0011737,
SOEC_ELECTROLYSIS,2050,750,837,
PEM_ELECTROLYSIS,2003,3986,0.0051821,
PEM_ELECTROLYSIS,2004,7363,0.0051836,
PEM_ELECTROLYSIS,2005,2887,0.0052047,
PEM_ELECTROLYSIS,2008,5106,0.0053733,
PEM_ELECTROLYSIS,2008,3050,0.0053733,
PEM_ELECTROLYSIS,2008,1878,0.0053733,
PEM_ELECTROLYSIS,2009,2549,0.0053800,
PEM_ELECTROLYSIS,2010,2524,0.0053871,
PEM_ELECTROLYSIS,2010,2326,0.0053871,
PEM_ELECTROLYSIS,2013,1343,0.0066407,
PEM_ELECTROLYSIS,2013,4012,0.0066407,
PEM_ELECTROLYSIS,2014,2745,0.0103063,
PEM_ELECTROLYSIS,2014,2914,0.0103063,
PEM_ELECTROLYSIS,2014,2387,0.0103063,
PEM_ELECTROLYSIS,2014,1976,0.0103063,
PEM_ELECTROLYSIS,2014,1641,0.0103063,
PEM_ELECTROLYSIS,2014,3818,0.0103063,
PEM_ELECTROLYSIS,2014,2494,0.0103063,
PEM_ELECTROLYSIS,2014,1432,0.0103063,
PEM_ELECTROLYSIS,2014,1790,0.0103063,
PEM_ELECTROLYSIS,2014,3580,0.0103063,
PEM_ELECTROLYSIS,2015,4047,0.0118263,
PEM_ELECTROLYSIS,2015,2381,0.0118263,
PEM_ELECTROLYSIS,2015,1197,0.0118263,
PEM_ELECTROLYSIS,2015,1874,0.0118263,
PEM_ELECTROLYSIS,2015,2381,0.0118263,
PEM_ELECTROLYSIS,2015,3047,0.0118263,
PEM_ELECTROLYSIS,2015,2381,0.0118263,
PEM_ELECTROLYSIS,2015,3332,0.0118263,
PEM_ELECTROLYSIS,2016,2366,0.0129780,
PEM_ELECTROLYSIS,2016,1316,0.0129780,
PEM_ELECTROLYSIS,2016,2366,0.0129780,
PEM_ELECTROLYSIS,2016,1183,0.0129780,
PEM_ELECTROLYSIS,2016,1518,0.0129780,
PEM_ELECTROLYSIS,2016,2248,0.0129780,
PEM_ELECTROLYSIS,2017,1420,0.0133188,
PEM_ELECTROLYSIS,2017,1543,0.0133188,
PEM_ELECTROLYSIS,2017,1834,0.0133188,
PEM_ELECTROLYSIS,2017,1597,0.0133188,
PEM_ELECTROLYSIS,2017,1479,0.0133188,
PEM_ELECTROLYSIS,2018,1183,0.0235110,
PEM_ELECTROLYSIS,2020,1479,0.0517146,
PEM_ELECTROLYSIS,2020,1361,0.0517146,
PEM_ELECTROLYSIS,2020,1194,0.0517146,
PEM_ELECTROLYSIS,2020,1071,0.0517146,
PEM_ELECTROLYSIS,2020,876,0.0517146,
PEM_ELECTROLYSIS,2020,1274,0.0517146,
PEM_ELECTROLYSIS,2020,2142,0.0517146,
PEM_ELECTROLYSIS,2030,1075,113.390,
PEM_ELECTROLYSIS,2050,550,668.160,
ALKALINE_ELECTROLYSIS,2015,1190,0.088632,
ALKALINE_ELECTROLYSIS,2015,1197,0.088632,
ALKALINE_ELECTROLYSIS,2015,1666,0.088632,
ALKALINE_ELECTROLYSIS,2015,1880,0.088632,
ALKALINE_ELECTROLYSIS,2015,1155,0.088632,
ALKALINE_ELECTROLYSIS,2015,1835,0.088632,
ALKALINE_ELECTROLYSIS,2015,1745,0.088632,
ALKALINE_ELECTROLYSIS,2015,1458,0.088632,
ALKALINE_ELECTROLYSIS,2015,1874,0.088632,
ALKALINE_ELECTROLYSIS,2015,1554,0.088632,
ALKALINE_ELECTROLYSIS,2015,1454,0.088632,
ALKALINE_ELECTROLYSIS,2015,1112,0.088632,
ALKALINE_ELECTROLYSIS,2015,983,0.088632,
ALKALINE_ELECTROLYSIS,2015,1110,0.088632,
ALKALINE_ELECTROLYSIS,2015,1190,0.088632,
ALKALINE_ELECTROLYSIS,2015,1369,0.088632,
ALKALINE_ELECTROLYSIS,2016,1197,0.091137,
ALKALINE_ELECTROLYSIS,2016,947,0.091137,
ALKALINE_ELECTROLYSIS,2016,1518,0.091137,
ALKALINE_ELECTROLYSIS,2016,1420,0.091137,
ALKALINE_ELECTROLYSIS,2016,1183,0.091137,
ALKALINE_ELECTROLYSIS,2016,1302,0.091137,
ALKALINE_ELECTROLYSIS,2016,983,0.091137,
ALKALINE_ELECTROLYSIS,2016,1316,0.091137,
ALKALINE_ELECTROLYSIS,2016,1183,0.091137,
ALKALINE_ELECTROLYSIS,2017,1154,0.093330,
ALKALINE_ELECTROLYSIS,2017,1183,0.093330,
ALKALINE_ELECTROLYSIS,2017,1183,0.093330,
ALKALINE_ELECTROLYSIS,2017,947,0.093330,
ALKALINE_ELECTROLYSIS,2018,947,0.096775,
ALKALINE_ELECTROLYSIS,2019,592,0.099593,
ALKALINE_ELECTROLYSIS,2020,1122,0.117132,
ALKALINE_ELECTROLYSIS,2020,592,0.117132,
ALKALINE_ELECTROLYSIS,2020,1019,0.117132,
ALKALINE_ELECTROLYSIS,2020,758,0.117132,
ALKALINE_ELECTROLYSIS,2020,1313,0.117132,
ALKALINE_ELECTROLYSIS,2020,1083,0.117132,
ALKALINE_ELECTROLYSIS,2020,1274,0.117132,
ALKALINE_ELECTROLYSIS,2030,625,197.838,
ALKALINE_ELECTROLYSIS,2050,450,885.78,