YEAR,TECHNOLOGY,MEAN,ESTIM_PERC_20,ESTIM_PERC_80
2020,RES_PV,2443,1917,2954
2019,RES_PV,2507,2024,3004
2018,RES_PV,2705,2210,3355
2017,RES_PV,3027,2452,3787
2016,RES_PV,3103,2602,3831
2015,RES_PV,3158,2623,3744
2014,RES_PV,3379,2771,4003
2013,RES_PV,3794,3121,4655
2020,COMMERCIAL_PV,1309,999,1794
2019,COMMERCIAL_PV,1648,1247,2184
2018,COMMERCIAL_PV,1963,1465,2650
2017,COMMERCIAL_PV,2100,1643,2851
2016,COMMERCIAL_PV,1821,1444,2543
2015,COMMERCIAL_PV,2221,1690,2799
2014,COMMERCIAL_PV,2828,2232,3793
2013,COMMERCIAL_PV,2880,2249,3898
2012,COMMERCIAL_PV,2837,2282,3695
2011,COMMERCIAL_PV,4071,3511,5052
2010,COMMERCIAL_PV,8381,7240,10164